iter	Passed	Remaining
0	1	185
1	3	151
2	4	133
3	4	119
4	6	120
5	7	116
6	8	111
7	9	108
8	10	105
9	11	103
10	12	100
11	13	97
12	14	94
13	14	92
14	15	90
15	16	88
16	17	86
17	18	84
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	26	74
26	27	74
27	28	74
28	29	72
29	30	72
30	31	70
31	32	70
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	88	0
99	88	0
