iter	Passed	Remaining
0	164	164738
1	166	83238
2	169	56195
3	170	42505
4	172	34331
5	174	28827
6	175	24951
7	178	22125
8	180	19864
9	183	18145
10	185	16645
11	185	15309
12	187	14238
13	189	13339
14	189	12474
15	190	11718
16	191	11084
17	192	10526
18	193	9996
19	194	9514
20	195	9091
21	195	8707
22	197	8371
23	198	8069
24	199	7773
25	200	7518
26	201	7261
27	202	7033
28	204	6833
29	205	6642
30	206	6452
31	207	6278
32	208	6114
33	209	5958
34	210	5811
35	211	5675
36	213	5553
37	214	5426
38	215	5306
39	216	5186
40	217	5077
41	217	4970
42	218	4867
43	219	4769
44	220	4676
45	221	4586
46	221	4500
47	222	4415
48	223	4334
49	224	4257
50	224	4182
51	225	4109
52	226	4039
53	226	3971
54	227	3908
55	228	3848
56	228	3787
57	229	3727
58	230	3669
59	230	3613
60	231	3562
61	232	3510
62	232	3459
63	233	3409
64	233	3362
65	234	3316
66	234	3270
67	235	3226
68	235	3183
69	236	3141
70	237	3102
71	237	3062
72	238	3023
73	238	2987
74	239	2953
75	240	2918
76	240	2883
77	241	2850
78	241	2818
79	242	2786
80	243	2757
81	243	2728
82	244	2695
83	244	2668
84	245	2639
85	245	2613
86	246	2586
87	247	2560
88	247	2534
89	248	2509
90	248	2484
91	249	2460
92	249	2436
93	250	2413
94	251	2392
95	251	2371
96	252	2349
97	252	2327
98	253	2306
99	254	2286
100	254	2266
101	255	2247
102	255	2227
103	256	2208
104	256	2189
105	257	2171
106	258	2155
107	259	2139
108	259	2124
109	260	2108
110	261	2093
111	262	2077
112	262	2062
113	263	2048
114	264	2033
115	264	2018
116	265	2002
117	266	1988
118	266	1974
119	267	1961
120	268	1948
121	268	1933
122	269	1920
123	270	1907
124	270	1894
125	271	1881
126	271	1867
127	272	1854
128	273	1843
129	273	1832
130	274	1821
131	275	1809
132	275	1798
133	276	1786
134	277	1775
135	277	1763
136	278	1752
137	278	1741
138	279	1730
139	279	1719
140	280	1709
141	280	1697
142	281	1686
143	282	1676
144	282	1666
145	283	1656
146	283	1646
147	284	1636
148	284	1626
149	285	1617
150	286	1608
151	286	1599
152	287	1590
153	288	1582
154	288	1574
155	289	1567
156	290	1558
157	290	1550
158	291	1541
159	292	1533
160	292	1523
161	293	1515
162	293	1507
163	294	1499
164	294	1491
165	295	1483
166	295	1475
167	296	1467
168	296	1460
169	297	1452
170	298	1445
171	298	1438
172	299	1430
173	299	1423
174	300	1416
175	301	1409
176	301	1402
177	302	1395
178	303	1390
179	303	1384
180	304	1378
181	305	1372
182	306	1367
183	306	1361
184	307	1355
185	308	1349
186	309	1343
187	309	1338
188	310	1333
189	311	1327
190	312	1322
191	312	1316
192	313	1311
193	314	1306
194	314	1300
195	315	1294
196	316	1289
197	317	1284
198	317	1279
199	318	1274
200	319	1269
201	320	1264
202	320	1259
203	321	1255
204	322	1250
205	323	1245
206	323	1241
207	324	1236
208	325	1231
209	326	1227
210	326	1222
211	327	1217
212	328	1213
213	329	1209
214	329	1204
215	330	1199
216	331	1195
217	332	1191
218	332	1187
219	333	1183
220	334	1179
221	335	1176
222	336	1172
223	337	1168
224	337	1163
225	338	1159
226	339	1156
227	340	1151
228	341	1148
229	341	1144
230	342	1140
231	343	1137
232	344	1133
233	345	1129
234	345	1125
235	346	1122
236	347	1119
237	348	1115
238	349	1112
239	350	1109
240	350	1105
241	351	1102
242	352	1098
243	353	1095
244	354	1092
245	355	1088
246	356	1085
247	356	1081
248	357	1078
249	358	1075
250	359	1072
251	360	1068
252	360	1065
253	361	1062
254	362	1059
255	363	1056
256	364	1054
257	365	1051
258	366	1048
259	367	1045
260	368	1042
261	369	1039
262	370	1037
263	371	1034
264	371	1031
265	372	1028
266	373	1025
267	374	1022
268	375	1019
269	376	1017
270	377	1014
271	378	1012
272	379	1009
273	380	1007
274	381	1004
275	382	1002
276	382	999
277	383	996
278	384	994
279	385	991
280	386	988
281	387	985
282	388	983
283	389	980
284	390	978
285	391	976
286	392	974
287	393	971
288	394	969
289	395	967
290	396	965
291	397	963
292	398	961
293	399	958
294	400	956
295	401	954
296	402	952
297	403	949
298	404	947
299	405	945
300	406	943
301	407	941
302	408	939
303	409	938
304	410	935
305	411	934
306	412	931
307	413	929
308	414	927
309	415	925
310	416	923
311	417	921
312	418	919
313	419	917
314	421	915
315	422	913
316	423	911
317	423	909
318	425	907
319	426	905
320	427	903
321	428	901
322	429	899
323	430	897
324	431	895
325	432	894
326	433	892
327	434	890
328	435	888
329	436	886
330	437	884
331	438	882
332	439	881
333	440	879
334	441	877
335	442	875
336	443	873
337	444	871
338	446	869
339	447	867
340	448	865
341	449	863
342	450	862
343	451	860
344	452	858
345	453	856
346	454	854
347	455	853
348	456	851
349	457	849
350	458	847
351	459	845
352	460	843
353	461	842
354	462	840
355	463	839
356	464	837
357	466	835
358	467	833
